time,time_bnds,lon,lat,precipitation,precipitation_cnt,precipitation_cnt_cond,MWprecipitation,MWprecipitation_cnt,MWprecipitation_cnt_cond,probabilityLiquidPrecipitation
16004.0,16004.0,120.94999694824219,14.450000000000006,5.2550006,48,18,5.68,15,6,99
16005.0,16005.0,120.94999694824219,14.450000000000006,22.16,48,35,12.305454,11,7,100
16006.0,16006.0,120.94999694824219,14.450000000000006,0.24499999,48,5,0.288,10,1,100
16007.0,16007.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
16008.0,16008.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16009.0,16009.0,120.94999694824219,14.450000000000006,1.8049998,48,4,0.087272726,11,1,100
16010.0,16010.0,120.94999694824219,14.450000000000006,0.0,48,0,0.14,12,1,100
16011.0,16011.0,120.94999694824219,14.450000000000006,5.265,48,12,4.3371425,14,3,100
16012.0,16012.0,120.94999694824219,14.450000000000006,2.565,48,11,1.0153846,13,2,100
16013.0,16013.0,120.94999694824219,14.450000000000006,0.16499999,48,1,0.0,13,0,100
16014.0,16014.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16015.0,16015.0,120.94999694824219,14.450000000000006,4.365,48,13,0.6933333,9,2,100
16016.0,16016.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16017.0,16017.0,120.94999694824219,14.450000000000006,31.545002,48,28,14.92,12,7,100
16018.0,16018.0,120.94999694824219,14.450000000000006,6.524999,48,15,5.085,16,4,100
16019.0,16019.0,120.94999694824219,14.450000000000006,20.039999,48,20,5.1709094,11,3,100
16020.0,16020.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16021.0,16021.0,120.94999694824219,14.450000000000006,0.08,48,1,0.0,12,0,100
16022.0,16022.0,120.94999694824219,14.450000000000006,4.5599995,48,10,1.4933333,9,1,100
16023.0,16023.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16024.0,16024.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16025.0,16025.0,120.94999694824219,14.450000000000006,0.089999996,48,1,0.0,12,0,100
16026.0,16026.0,120.94999694824219,14.450000000000006,0.02,48,2,0.099999994,12,1,100
16027.0,16027.0,120.94999694824219,14.450000000000006,14.464998,48,31,10.12,12,8,100
16028.0,16028.0,120.94999694824219,14.450000000000006,0.53499997,48,8,0.3323077,13,3,100
16029.0,16029.0,120.94999694824219,14.450000000000006,16.759996,48,23,14.849999,8,3,100
16030.0,16030.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16031.0,16031.0,120.94999694824219,14.450000000000006,2.0749998,48,6,5.306667,9,3,100
16032.0,16032.0,120.94999694824219,14.450000000000006,22.824999,48,19,12.664614,13,4,100
16033.0,16033.0,120.94999694824219,14.450000000000006,1.4699999,48,10,1.1858823,17,2,100
16034.0,16034.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,15,0,100
16035.0,16035.0,120.94999694824219,14.450000000000006,1.5900002,48,11,1.1563636,11,2,100
16036.0,16036.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16037.0,16037.0,120.94999694824219,14.450000000000006,1.0999999,48,5,0.0,9,0,100
16038.0,16038.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16039.0,16039.0,120.94999694824219,14.450000000000006,0.67,48,9,0.24,11,2,100
16040.0,16040.0,120.94999694824219,14.450000000000006,0.12,48,4,0.055384614,13,1,100
16041.0,16041.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16042.0,16042.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16043.0,16043.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16044.0,16044.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16045.0,16045.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16046.0,16046.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16047.0,16047.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16048.0,16048.0,120.94999694824219,14.450000000000006,0.015,48,1,0.0,13,0,100
16049.0,16049.0,120.94999694824219,14.450000000000006,2.9599998,48,12,1.4879999,15,4,100
16050.0,16050.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16051.0,16051.0,120.94999694824219,14.450000000000006,2.06,48,9,1.71,8,3,100
16052.0,16052.0,120.94999694824219,14.450000000000006,1.4350001,48,6,0.72,11,2,99
16053.0,16053.0,120.94999694824219,14.450000000000006,2.4099998,48,6,0.0,9,0,100
16054.0,16054.0,120.94999694824219,14.450000000000006,2.0299997,48,14,1.7314285,14,4,100
16055.0,16055.0,120.94999694824219,14.450000000000006,47.079998,48,29,16.2,14,7,100
16056.0,16056.0,120.94999694824219,14.450000000000006,29.964998,48,37,12.7384615,13,10,100
16057.0,16057.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16058.0,16058.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16059.0,16059.0,120.94999694824219,14.450000000000006,1.7,48,5,0.26666665,9,1,100
16060.0,16060.0,120.94999694824219,14.450000000000006,1.9,48,3,0.0,9,0,100
16061.0,16061.0,120.94999694824219,14.450000000000006,0.625,48,4,0.8676923,13,3,100
16062.0,16062.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16063.0,16063.0,120.94999694824219,14.450000000000006,0.515,48,6,0.5538462,13,2,100
16064.0,16064.0,120.94999694824219,14.450000000000006,0.48499998,48,8,0.3942857,14,4,100
16065.0,16065.0,120.94999694824219,14.450000000000006,0.47,48,7,0.6830769,13,4,100
16066.0,16066.0,120.94999694824219,14.450000000000006,0.48999998,48,7,0.16,12,1,100
16067.0,16067.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,7,0,100
16068.0,16068.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16069.0,16069.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16070.0,16070.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16071.0,16071.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16072.0,16072.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,15,0,100
16073.0,16073.0,120.94999694824219,14.450000000000006,8.995,48,10,6.3119993,10,3,100
16074.0,16074.0,120.94999694824219,14.450000000000006,4.0800004,48,16,1.152,10,2,99
16075.0,16075.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,7,0,100
16076.0,16076.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16077.0,16077.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16078.0,16078.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16079.0,16079.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16080.0,16080.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16081.0,16081.0,120.94999694824219,14.450000000000006,2.385,48,6,1.0799999,12,2,99
16082.0,16082.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
16083.0,16083.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16084.0,16084.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16085.0,16085.0,120.94999694824219,14.450000000000006,0.03,48,2,0.04,12,1,100
16086.0,16086.0,120.94999694824219,14.450000000000006,0.044999998,48,3,0.034285713,14,1,100
16087.0,16087.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16088.0,16088.0,120.94999694824219,14.450000000000006,0.015,48,1,0.021818181,11,1,100
16089.0,16089.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16090.0,16090.0,120.94999694824219,14.450000000000006,1.9599999,48,6,0.79999995,9,1,100
16091.0,16091.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16092.0,16092.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16093.0,16093.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16094.0,16094.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16095.0,16095.0,120.94999694824219,14.450000000000006,0.049999997,48,1,0.0,13,0,100
16096.0,16096.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16097.0,16097.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
16098.0,16098.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16099.0,16099.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16100.0,16100.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16101.0,16101.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16102.0,16102.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16103.0,16103.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
16104.0,16104.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
