,lat,lon,flood_height,elevation,precipitation,is_flooding,geometry,index_right,Var
3083,14.51138419,121.0797702,4,4.29979944229,10.0,1,POINT (121.0797702 14.51138419),0.0,1.0
3084,14.61748582,120.9894262,4,6.96841096878,8.0,1,POINT (120.9894262 14.61748582),1.0,2.0
3085,14.64366368,120.985968,4,19.9527454376,8.0,1,POINT (120.985968 14.64366368),1.0,2.0
3086,14.64307719,120.9860592,4,19.9527454376,8.0,1,POINT (120.9860592 14.64307719),1.0,2.0
3087,14.64332632,120.9861665,4,19.9527454376,8.0,1,POINT (120.9861665 14.64332632),1.0,2.0
3088,14.64345088,120.9860324,4,19.9527454376,8.0,1,POINT (120.9860324 14.64345088),1.0,2.0
3089,14.34903337,121.0809741,4,6.52109766006,14.0,1,POINT (121.0809741 14.34903337),,
3090,14.4612166,121.0112827,4,15.8397836685,7.0,1,POINT (121.0112827 14.4612166),2.0,3.0
3091,14.60588873,121.108191,4,10.7336149216,12.0,1,POINT (121.108191 14.60588873),,
3092,14.60593545,121.1065441,4,11.0526475906,12.0,1,POINT (121.1065441 14.60593545),,
3093,14.47880434,120.9982739,4,8.9054851532,6.0,1,POINT (120.9982739 14.47880434),2.0,3.0
3094,14.47332585,120.9969355,4,9.83743953705,6.0,1,POINT (120.9969355 14.47332585),1.0,2.0
3095,14.46237237,120.9948032,4,14.2119092941,6.0,1,POINT (120.9948032 14.46237237),,
3096,14.46238276,120.9952538,4,14.617805481,6.0,1,POINT (120.9952538 14.46238276),1.0,2.0
3097,14.49875896,121.0073291,4,7.48179626465,6.0,1,POINT (121.0073291 14.49875896),2.0,3.0
3098,14.53756197,121.0008167,4,8.07418060303,7.0,1,POINT (121.0008167 14.53756197),1.0,2.0
3099,14.54091641,121.0178755,4,12.7976760864,7.0,1,POINT (121.0178755 14.54091641),1.0,2.0
3100,14.48461895,120.9940092,4,5.05411958694,6.0,1,POINT (120.9940092 14.48461895),1.0,2.0
3101,14.5255183,121.0161101,4,10.8885307312,7.0,1,POINT (121.0161101 14.5255183),,
3102,14.56853687,121.1032338,4,5.13100576401,12.0,1,POINT (121.1032338 14.56853687),,
3103,14.63962497,121.0828108,4,36.7328262329,11.0,1,POINT (121.0828108 14.63962497),,
3104,14.7953278,120.923561,4,5.4927649498,11.0,1,POINT (120.923561 14.7953278),,
3105,14.79747243,120.9229548,4,5.40249824524,11.0,1,POINT (120.9229548 14.79747243),,
3106,14.7988261,120.9224479,4,5.29998397827,11.0,1,POINT (120.9224479 14.7988261),,
3107,14.73161228,120.924504,4,3.19903326035,10.0,1,POINT (120.924504 14.73161228),,
3108,14.7359391,120.9225943,4,3.27097892761,10.0,1,POINT (120.9225943 14.7359391),,
